trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
253,False,"{'a': 0.01, 'e': 0.07957480016920014}",30,12,23.474313264732064,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.01, 'e': 0.07878466824110401}",35,13,35.444336531246165,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.01, 'e': 0.07800234949547559}",20,8,21.32431002826642,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.01, 'e': 0.077227767630001}",20,0,19.78943347724911,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
257,False,"{'a': 0.01, 'e': 0.07646084705907141}",25,0,35.522102089488875,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
258,False,"{'a': 0.01, 'e': 0.07570151290790612}",20,13,-1.209237911777115,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
259,False,"{'a': 0.01, 'e': 0.074949691006697}",35,12,9.136943164343352,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
260,False,"{'a': 0.01, 'e': 0.0742053078847751}",25,6,-55.89834392797785,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 2}",1
261,False,"{'a': 0.01, 'e': 0.0734682907648009}",20,15,8.793251424548702,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.01, 'e': 0.0727385675569781}",25,15,19.300338121050924,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.01, 'e': 0.07201606685329272}",20,5,-3.290561775740117,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
264,False,"{'a': 0.01, 'e': 0.07130071792177714}",20,0,-13.01366293220397,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
265,False,"{'a': 0.01, 'e': 0.07059245070080084}",25,5,30.121292536684336,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.01, 'e': 0.06989119579338747}",25,8,29.20022734707003,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
